concentration_pM,sensor_surface_c_avg_6000s_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,alpha_eff,DeltaIds_screened_A,DeltaIds_screened_pA,detection_threshold_pA,detectable,required_alpha0_for_detection,maximum_allowed_distance_nm,maximum_allowed_noise_floor_pA
0.5,0.436455382421082,1.0,0.03,5.0,9.6,10.0,60.748659453509866,0.010585982443765466,1.2879181836980304e-10,128.79181836980305,15.0,True,0.003494010766335359,30.64141205033784,42.93060612326768
0.5,0.436455382421082,1.0,0.03,10.0,0.8,0.5,60.748659453509866,0.016057842855569708,1.9536389668616693e-10,195.36389668616692,30.0,True,0.004606787719052115,1.998933259746864,65.12129889538897
0.5,0.436455382421082,1.0,0.03,10.0,0.8,1.0,60.748659453509866,0.008595143905805703,1.0457075842127412e-10,104.57075842127412,30.0,True,0.008606612532867524,1.998933259746864,34.85691947375804
0.5,0.436455382421082,1.0,0.03,10.0,0.8,2.0,60.748659453509866,0.002462549958716964,2.996002389900316e-11,29.96002389900316,30.0,False,0.030040029441696977,1.998933259746864,9.986674633001053
0.5,0.436455382421082,1.0,0.03,10.0,0.8,5.0,60.748659453509866,5.791362408683128e-05,7.045922278967153e-13,0.7045922278967153,30.0,False,1.2773345551746975,1.998933259746864,0.23486407596557177
0.5,0.436455382421082,1.0,0.03,10.0,0.8,10.0,60.748659453509866,1.1179959516236012e-07,1.3601829806971107e-15,0.0013601829806971107,30.0,False,661.6756809725252,1.998933259746864,0.00045339432689903684
0.5,0.436455382421082,1.0,0.03,10.0,3.0,0.5,60.748659453509866,0.02539445174671842,3.089555111524184e-10,308.9555111524184,30.0,True,0.0029130407696660214,7.49599972405074,102.98517038413948
0.5,0.436455382421082,1.0,0.03,10.0,3.0,1.0,60.748659453509866,0.021495939317213678,2.6152519399476046e-10,261.52519399476046,30.0,True,0.0034413510463471102,7.49599972405074,87.17506466492014
0.5,0.436455382421082,1.0,0.03,10.0,3.0,2.0,60.748659453509866,0.01540251357097776,1.873909900011302e-10,187.39099000113018,30.0,True,0.0048027922793650426,7.49599972405074,62.463663333710066
0.5,0.436455382421082,1.0,0.03,10.0,3.0,5.0,60.748659453509866,0.005666268085126855,6.89372926821791e-11,68.9372926821791,30.0,True,0.013055342978861392,7.49599972405074,22.97909756072637
0.5,0.436455382421082,1.0,0.03,10.0,3.0,10.0,60.748659453509866,0.0010702198004175717,1.3020572713336018e-11,13.020572713336017,30.0,False,0.0691213835070554,7.49599972405074,4.340190904445339
0.5,0.436455382421082,1.0,0.03,10.0,9.6,0.5,60.748659453509866,0.028477492782005256,3.464645910278685e-10,346.4645910278685,30.0,True,0.0025976680541291066,23.987199116962366,115.48819700928951
0.5,0.436455382421082,1.0,0.03,10.0,9.6,1.0,60.748659453509866,0.027032253171638716,3.288814296738843e-10,328.8814296738843,30.0,True,0.002736548551532482,23.987199116962366,109.6271432246281
0.5,0.436455382421082,1.0,0.03,10.0,9.6,2.0,60.748659453509866,0.024358090384519047,2.9634686901316446e-10,296.34686901316445,30.0,True,0.0030369816391075813,23.987199116962366,98.78228967105483
